ra,dec,gal_l,gal_b,h_mag,shmag,h_2mass,k_2mass,j_2mass,p,sp,pa_deg,gpa_deg,spa,q,sq,u,su,nhwp,uf
288.337868,11.304628,45.473708,0.347656,11.13150,0.00320,11.015,10.136,12.969,2.31,0.41,163.7,46.1,5.1,1.980,0.419,-1.266,0.384,16,1
288.338688,11.936315,46.033749,0.639901,10.36061,0.00146,10.411,9.954,11.714,1.56,0.24,178.0,60.4,4.4,1.579,0.243,-0.110,0.207,32,1
288.338704,11.470709,45.621230,0.423957,10.95440,0.00320,10.951,9.848,13.450,1.44,0.66,155.1,37.5,13.1,1.020,0.512,-1.207,0.747,16,1
288.341338,11.739469,45.860543,0.546316,9.30840,0.00060,9.347,8.601,10.963,1.08,0.23,15.3,77.6,6.0,0.952,0.208,0.561,0.268,16,1
288.343066,11.572468,45.713368,0.467365,12.11680,0.01020,12.090,11.116,14.348,4.08,1.51,164.4,46.8,10.6,3.722,1.531,-2.249,1.458,16,1
288.349531,11.877725,45.986758,0.603330,11.58130,0.00480,11.478,10.718,13.386,1.49,0.52,28.9,91.3,9.9,0.838,0.515,1.333,0.517,16,1
288.349547,11.057326,45.259929,0.222799,10.67520,0.00230,10.687,9.523,13.265,4.85,0.37,179.8,62.2,2.2,4.866,0.366,-0.026,0.355,16,1
288.349853,11.894310,46.001598,0.610743,10.02820,0.00120,10.033,9.054,12.174,2.19,0.22,24.7,87.1,2.9,1.434,0.230,1.676,0.215,16,1
288.818249,10.994792,45.418266,-0.213647,11.58320,0.00450,11.594,11.056,12.815,2.08,0.68,45.5,107.7,9.3,-0.036,0.748,2.184,0.675,16,1
288.776261,11.093785,45.486727,-0.131118,10.70350,0.00168,10.707,10.074,12.432,1.42,0.31,24.3,86.7,6.2,0.958,0.319,1.090,0.309,32,1
288.782451,11.791762,46.107429,0.188161,9.49793,0.00053,9.560,9.201,10.606,0.41,0.15,1.0,63.3,10.0,0.440,0.154,0.015,0.169,48,1
288.814451,10.930194,45.359350,-0.240400,10.94730,0.00250,10.933,9.531,13.821,2.57,0.44,42.1,104.4,4.9,0.261,0.453,2.599,0.444,16,1
288.817778,10.974035,45.399677,-0.222895,10.32100,0.00150,10.317,8.870,13.236,3.34,0.31,36.6,98.9,2.6,0.969,0.255,3.211,0.310,16,1
288.779768,11.214256,45.594974,-0.078130,9.90600,0.00140,10.028,9.573,11.382,0.54,0.24,10.7,73.0,13.0,0.549,0.242,0.214,0.248,16,1
288.781588,11.763033,46.081604,0.175546,9.94060,0.00085,9.959,8.960,12.058,1.02,0.16,11.9,74.2,4.5,0.942,0.161,0.417,0.174,32,1
288.791033,11.727473,46.054426,0.150820,10.80220,0.00260,10.600,9.464,13.215,2.70,0.64,27.7,90.0,6.8,1.576,0.422,2.286,0.724,16,1
288.815132,10.983339,45.406705,-0.216267,10.85430,0.00240,10.769,9.211,13.664,4.54,0.48,32.6,94.8,3.1,1.920,0.501,4.140,0.481,16,1
288.821173,11.135972,45.544572,-0.150504,11.71830,0.00560,11.667,10.599,13.988,3.21,0.63,61.4,123.6,5.6,-1.772,0.628,2.755,0.629,16,1
288.822582,11.113873,45.525654,-0.162009,9.91260,0.00100,9.849,8.998,11.789,1.46,0.19,32.1,94.3,3.7,0.643,0.147,1.325,0.195,16,1
288.783481,11.003055,45.409704,-0.179592,11.05820,0.00270,11.093,10.096,13.232,2.73,0.42,26.5,88.8,4.4,1.660,0.408,2.205,0.426,16,1
288.822857,11.271153,45.665000,-0.089072,10.89020,0.00370,10.903,9.716,13.449,4.72,0.58,30.6,92.9,3.5,2.286,0.582,4.167,0.576,16,1
288.824058,11.061220,45.479720,-0.187789,11.68140,0.00500,11.566,10.355,14.208,3.53,0.97,43.8,106.0,7.9,0.159,0.926,3.654,0.970,16,1
288.771947,11.324255,45.688783,-0.020177,9.84481,0.00102,9.854,8.898,12.096,1.01,0.39,35.4,97.7,10.3,0.356,0.342,1.023,0.393,32,1
288.773765,11.862000,46.165653,0.228356,11.93159,0.00471,11.879,10.519,14.783,2.10,0.99,53.3,115.7,12.3,-0.666,1.054,2.224,0.987,32,1
288.779891,10.949765,45.360890,-0.201259,10.17090,0.00120,10.187,9.053,12.739,2.57,0.26,35.5,97.8,2.8,0.842,0.256,2.438,0.254,16,1
288.782652,11.170118,45.557217,-0.101164,7.70200,0.00020,7.672,6.692,9.736,1.30,0.13,5.3,67.6,2.8,1.283,0.128,0.239,0.129,16,1
288.784464,11.744088,46.066142,0.164242,12.05459,0.00611,12.041,11.095,14.262,2.47,1.11,35.2,97.5,11.7,0.907,1.165,2.553,1.100,32,1
288.720668,11.789814,46.077579,0.240797,11.47230,0.00470,11.482,11.100,12.489,2.38,0.71,23.5,85.8,8.5,1.696,0.735,1.817,0.685,16,1
288.722477,11.917367,46.191332,0.298534,10.57720,0.00190,10.584,9.595,12.900,2.06,0.68,24.1,86.4,9.5,1.448,0.689,1.621,0.678,16,1
288.068606,11.085335,45.156970,0.480096,12.40410,0.01160,12.446,12.009,13.661,3.30,1.38,105.1,167.5,12.0,-3.087,1.347,-1.797,1.466,16,1
288.731413,11.031212,45.410863,-0.121252,12.09170,0.00740,12.095,10.767,15.030,3.69,1.84,38.8,101.1,14.3,0.891,1.718,4.030,1.850,16,1
288.732289,11.756353,46.053244,0.215167,8.15320,0.00030,8.181,7.288,10.186,1.21,0.12,174.9,57.2,2.8,1.192,0.117,-0.214,0.140,16,1
288.069400,11.689983,45.693301,0.759352,10.78490,0.00260,10.725,9.980,12.603,1.21,0.40,10.8,73.2,9.6,1.184,0.393,0.467,0.467,16,1
288.073543,11.024714,45.105481,0.447732,11.11130,0.00390,10.780,9.997,12.053,2.17,0.97,10.7,73.1,12.8,2.213,0.963,0.867,1.004,16,1
288.080266,11.143699,45.214000,0.496981,9.97420,0.00150,10.002,9.294,11.571,1.29,0.28,24.1,86.5,6.1,0.880,0.308,0.985,0.245,16,1
288.080289,11.806827,45.801815,0.803995,10.14552,0.00100,10.226,9.814,11.373,1.09,0.40,177.8,60.2,9.8,1.155,0.398,-0.088,0.388,32,1
288.081126,11.244653,45.303873,0.542980,10.64030,0.00210,10.664,9.956,12.232,0.97,0.29,16.6,79.0,8.6,0.844,0.300,0.552,0.270,16,1
288.733150,11.829427,46.118331,0.248399,10.34810,0.00170,10.376,9.402,12.518,2.68,0.44,7.5,69.8,4.7,2.622,0.436,0.707,0.439,16,1
288.087759,11.756202,45.760324,0.774075,12.39910,0.01130,12.419,11.861,13.628,2.84,1.26,166.2,48.6,12.7,2.750,1.259,-1.441,1.266,16,1
288.096109,11.593595,45.619972,0.691538,12.31550,0.00780,12.318,12.047,13.202,4.47,1.08,151.2,33.6,6.9,2.462,1.093,-3.888,1.069,16,1
287.986109,11.295987,45.306241,0.649342,8.76980,0.00040,8.914,8.347,10.161,1.13,0.28,96.3,158.7,7.0,-1.133,0.276,-0.253,0.280,16,1
288.001450,11.329806,45.343184,0.651658,10.50090,0.00210,10.559,9.649,12.520,1.80,0.39,62.7,125.1,6.2,-1.063,0.393,1.500,0.386,16,1
288.001466,11.449010,45.448869,0.706810,8.41914,0.00024,8.495,8.332,9.188,0.35,0.14,31.9,94.4,10.7,0.164,0.139,0.334,0.138,32,1
288.001556,11.046277,45.091884,0.520343,8.49380,0.00023,8.614,8.318,9.655,0.49,0.12,3.1,65.5,7.0,0.503,0.124,0.054,0.128,48,1
288.097292,11.184354,45.257770,0.501002,10.35220,0.00170,10.364,9.515,12.241,2.10,0.41,15.7,78.1,5.6,1.830,0.401,1.114,0.445,16,1
288.061896,11.477517,45.501556,0.667507,11.43520,0.00470,11.395,10.629,13.223,2.04,0.73,39.5,102.0,10.3,0.410,0.609,2.127,0.739,16,1
288.070222,11.176096,45.238153,0.520716,12.37950,0.01130,12.357,11.605,14.274,5.27,1.61,39.8,102.2,8.7,0.995,1.844,5.420,1.600,16,1
