_r,recno,ID,n_ID,RAOff,DEOff,RAJ2000,DEJ2000,Int,e_Int,Pol,e_Pol,theta,e_theta
0.8358,1137,L1544,,15.0,-55.0,05 04 17.97,+25 09 53.7,0.00024,8.9e-06,10.4,3.6,-81.5,9.4
0.6736,1138,L1544,,15.0,-45.0,05 04 17.97,+25 10 03.7,0.00028,8e-06,9.1,3.4,-88.1,8.5
0.5902,1139,L1544,,25.0,-35.0,05 04 18.70,+25 10 13.7,0.00029,8.8e-06,8.8,3.5,80.7,12.4
0.5142,1140,L1544,,15.0,-35.0,05 04 17.97,+25 10 13.7,0.00029,9.7e-06,7.5,3.4,57.5,11.6
0.4631,1141,L1544,,25.0,-25.0,05 04 18.70,+25 10 23.7,0.00038,9.5e-06,7.9,2.9,-2.1,10.5
0.3181,1142,L1544,,5.0,-25.0,05 04 17.23,+25 10 23.7,0.00039,8.9e-06,10.3,2.5,-77.3,7.3
0.3575,1143,L1544,,-5.0,-25.0,05 04 16.49,+25 10 23.7,0.00036,8.7e-06,8.2,2.9,-69.9,9.4
0.2288,1144,L1544,,15.0,-15.0,05 04 17.97,+25 10 33.7,0.00046,8.3e-06,6.5,2.1,-56.7,8.5
0.1514,1145,L1544,,5.0,-15.0,05 04 17.23,+25 10 33.7,0.00048,8.3e-06,5.2,2.1,-54.2,11.7
0.1722,1146,L1544,,15.0,-5.0,05 04 17.97,+25 10 43.7,0.00051,8e-06,4.6,2.2,-63.9,12.2
0.2500,1147,L1544,,15.0,5.0,05 04 17.97,+25 10 53.7,0.00047,9e-06,9.1,2.5,-40.0,7.3
0.2445,1148,L1544,,-5.0,5.0,05 04 16.49,+25 10 53.7,0.00053,8.4e-06,12.1,1.9,-28.6,4.4
0.3486,1149,L1544,,5.0,15.0,05 04 17.23,+25 11 03.7,0.00046,8.8e-06,5.2,2.1,-24.5,10.8
0.3850,1150,L1544,,-5.0,15.0,05 04 16.49,+25 11 03.7,0.00057,8.8e-06,4.1,1.8,-53.8,11.9
0.4790,1151,L1544,,-15.0,15.0,05 04 15.76,+25 11 03.7,0.0004,8.6e-06,7.0,2.1,-46.2,10.3
0.7494,1152,L1544,,-35.0,15.0,05 04 14.28,+25 11 03.7,0.00028,8.6e-06,18.7,3.7,12.1,6.2
0.5153,1153,L1544,,5.0,25.0,05 04 17.23,+25 11 13.7,0.00031,8.8e-06,9.7,3.5,-49.0,10.8
0.6111,1154,L1544,,-15.0,25.0,05 04 15.76,+25 11 13.7,0.00036,8.1e-06,6.2,2.8,-15.9,11.9
1.0730,1155,L1544,,-45.0,35.0,05 04 13.55,+25 11 23.7,0.00028,7.8e-06,15.9,3.8,69.3,6.6
